GSS code,Reg,Name,Date 1,Date 2,Date 3,Notes
E06000010,KHL,Hull City Council,,,,
E06000011,ERY,East Riding of Yorkshire Council,,,,
E06000012,NEL,North East Lincolnshire Council,,,,
E06000013,NLN,North Lincolnshire Council,,,,
E06000022,BAS,Bath & North East Somerset Council,,,,
E06000023,BST,Bristol City Council,17/03/2025,14/04/2025,22/04/2025,
E06000025,SGC,South Gloucestershire Council,,,,
E06000031,PTE,Peterborough City Council,,,,
E06000047,DUR,Durham County Council,,,,
E06000051,SHR,Shropshire Council,01/04/2025,10/04/2025,17/04/2025,Confirmed from council
E06000052,CON,Cornwall Council,,,,
E06000053,IOS,Council of the Isles of Scilly,,,,
E06000054,WIL,Wiltshire Council,,,,
E06000057,NBL,Northumberland County Council,28/03/2025,10/04/2025,22/04/2025,
E06000060,BUC,Buckinghamshire Council,23/03/2025,11/04/2025,17/04/2025,
E06000061,NNT,North Northamptonshire Council,,,,
E06000062,WNT,West Northamptonshire Council,,,,
E07000008,CAB,Cambridge City Council,26/03/2025,11/04/2025,22/04/2025,
E07000009,ECA,East Cambridgeshire District Council,,,,
E07000010,FEN,Fenland District Council,,,,
E07000011,HUN,Huntingdonshire District Council,,,,
E07000012,SCA,South Cambridgeshire District Council,,,,
E07000032,AMB,Amber Valley Borough Council,01/04/2025,14/04/2025,17/04/2025,
E07000033,BOS,Bolsover District Council,,,,
E07000034,CHS,Chesterfield Borough Council,,,,
E07000035,DEB,Derbyshire Dales District Council,25/03/2025,09/04/2025,16/04/2025,
E07000036,ERE,Erewash Borough Council,24/03/2025,16/04/2025,17/04/2025,
E07000037,HIG,High Peak Borough Council,,,,
E07000038,NED,N.E. Derbyshire District Council,31/03/2025,14/04/2025,17/04/2025,
E07000039,SDE,South Derbyshire District Council,18/03/2025,14/04/2025,22/04/2025,
E07000040,EDE,East Devon District Council,,,,
E07000041,EXE,Exeter City Council,,,,
E07000042,MDE,Mid Devon District Council,,,,
E07000043,NDE,North Devon Council,14/04/2025,15/04/2025,15/04/2025,
E07000044,SHA,South Hams District Council,23/03/2025,14/04/2025,22/04/2025,
E07000045,TEI,Teignbridge District Council,28/03/2025,17/04/2025,17/04/2025,
E07000046,TOR,Torridge District Council,24/03/2025,07/04/2025,17/04/2025,
E07000047,WDE,West Devon Borough Council,,,,
E07000078,CHT,Cheltenham Borough Council,,,,
E07000079,COT,Cotswold District Council,,,,
E07000080,FOE,Forest of Dean District Council,02/04/2025,14/04/2025,17/04/2025,
E07000081,GLO,Gloucester City Council,19/03/2025,13/04/2025,17/04/2025,
E07000082,STO,Stroud District Council,,,,
E07000083,TEW,Tewkesbury Borough Council,,,,
E07000095,BRX,Broxbourne Borough Council,,,,
E07000096,DAC,Dacorum Borough Council,,,,
E07000098,HER,Hertsmere Borough Council,17/03/2025,14/04/2025,24/04/2025,
E07000099,NHE,North Hertfordshire District Council,27/03/2025,14/04/2025,22/04/2025,
E07000102,THE,Three Rivers District Council,,,,
E07000103,WAT,Watford Borough Council,,,,
E07000105,ASF,Ashford Borough Council,,,,
E07000106,CAT,Canterbury City Council,28/03/2025,15/04/2025,17/04/2025,
E07000107,DAR,Dartford Borough Council,,,,
E07000108,DOV,Dover District Council,,,,
E07000109,GRA,Gravesham Borough Council,,,,
E07000110,MAI,Maidstone Borough Council,,,,
E07000111,SEV,Sevenoaks District Council,27/03/2025,11/04/2025,22/04/2025,
E07000112,SHE,Folkestone & Hythe District Council,,,,
E07000113,SWL,Swale Borough Council,,,,
E07000114,THA,Thanet District Council,,,,
E07000115,TON,Tonbridge and Malling Borough Council,,,,
E07000116,TUN,Tunbridge Wells Borough Council,02/04/2025,16/04/2025,22/04/2025,
E07000117,BUN,Burnley Borough Council,27/03/2025,15/04/2025,22/04/2025,
E07000118,CHO,Chorley Borough Council,31/03/2025,15/04/2025,24/04/2025,
E07000119,FYL,Fylde Borough Council,18/03/2025,16/04/2025,22/04/2025,
E07000120,HYN,Hyndburn Borough Council,,,,
E07000121,LAC,Lancaster City Council,,,,
E07000122,PEN,Pendle Borough Council,,,,
E07000123,PRE,Preston City Council,,,,removed - date 2 before SOPN day
E07000124,RIB,Ribble Valley Borough Council,,,,
E07000125,ROS,Rossendale Borough Council,17/03/2025,14/04/2025,22/04/2025,
E07000126,SRI,South Ribble Borough Council,31/03/2025,15/04/2025,17/04/2025,
E07000127,WLA,West Lancashire Borough Council,27/03/2025,17/04/2025,22/04/2025,
E07000128,WYR,Wyre Borough Council,01/04/2025,14/04/2025,17/04/2025,
E07000129,BLA,Blaby District Council,31/03/2025,11/04/2025,17/04/2025,
E07000130,CHA,Charnwood Borough Council,14/03/2025,10/04/2025,22/04/2025,
E07000131,HAO,Harborough District Council,,,,
E07000132,HIN,Hinckley & Bosworth Borough Council,27/03/2025,14/04/2025,22/04/2025,
E07000133,MEL,Melton Borough Council,,,,
E07000134,NWL,N.W. Leicestershire District Council,,,,removed - date 2 before SOPN day
E07000135,OAD,Oadby & Wigston District Council,,,,
E07000136,BOT,Boston Borough Council,17/03/2025,11/04/2025,17/04/2025,
E07000137,ELI,East Lindsey District Council,,,,
E07000138,LIC,Lincoln City Council,,,,
E07000139,NKE,North Kesteven District Council,26/03/2025,11/04/2025,16/04/2025,
E07000140,SHO,South Holland District Council,27/03/2025,10/04/2025,16/04/2025,Confirmed from council
E07000141,SKE,South Kesteven District Council,,,,
E07000142,WLI,West Lindsey District Council,,,,
E07000170,ASH,Ashfield District Council,,,,
E07000171,BAE,Bassetlaw District Council,01/04/2025,14/04/2025,17/04/2025,
E07000172,BRT,Broxtowe Borough Council,31/03/2025,15/04/2025,17/04/2025,
E07000173,GED,Gedling Borough Council,31/03/2025,14/04/2025,17/04/2025,
E07000174,MAS,Mansfield District Council,,,,
E07000175,NEA,Newark & Sherwood District Council,,,,
E07000176,RUS,Rushcliffe Borough Council,31/03/2025,14/04/2025,21/04/2025,
E07000177,CHR,Cherwell District Council,,,,
E07000178,OXO,Oxford City Council,18/03/2025,18/04/2025,19/04/2025,
E07000179,SOX,South Oxfordshire District Council,31/03/2025,15/04/2025,17/04/2025,Confirmed from council
E07000180,VAL,Vale of White Horse District Council,,,,
E07000181,WOX,West Oxfordshire District Council,,,,
E07000192,CAN,Cannock Chase District Council,18/03/2025,11/04/2025,22/04/2025,
E07000193,EST,East Staffordshire Borough Council,27/03/2025,10/04/2025,22/04/2025,
E07000194,LIF,Lichfield District Council,,,,
E07000195,NEC,Newcastle Under Lyme Borough Council,,,,
E07000196,SST,South Staffordshire District Council,01/04/2025,09/04/2025,16/04/2025,
E07000197,STA,Stafford Borough Council,,,,
E07000198,STF,Staffordshire Moorlands District Council,,,,
E07000199,TAW,Tamworth Borough Council,09/03/2025,10/04/2025,17/04/2025,Confirmed from council
E07000218,NWA,North Warwickshire Borough Council,17/03/2025,14/04/2025,22/04/2025,
E07000219,NUN,Nuneaton and Bedworth Borough Council,17/03/2025,14/04/2025,22/04/2025,
E07000220,RUG,Rugby Borough Council,25/03/2025,11/04/2025,22/04/2025,
E07000221,STR,Stratford on Avon District Council,01/04/2025,08/04/2025,17/04/2025,
E07000222,WAW,Warwick District Council,,,,
E07000234,BRM,Bromsgrove District Council,21/03/2025,08/04/2025,16/04/2025,
E07000235,MAV,Malvern Hills District Council,28/03/2025,14/04/2025,22/04/2025,
E07000236,RED,Redditch Borough Council,21/03/2025,08/04/2025,16/04/2025,
E07000237,WOC,Worcester City Council,27/03/2025,14/04/2025,22/04/2025,
E07000238,WYC,Wychavon District Council,03/04/2025,10/04/2025,18/04/2025,
E07000239,WYE,Wyre Forest District Council,01/04/2025,14/04/2025,23/04/2025,
E07000240,SAL,St Albans City & District Council,,,,
E07000241,WEW,Welwyn Hatfield Borough Council,27/03/2025,10/04/2025,17/04/2025,
E07000242,EHE,East Hertfordshire District Council,27/03/2025,08/04/2025,17/04/2025,
E07000243,STV,Stevenage Borough Council,,,,
E08000017,DNC,Doncaster Metropolitan Borough Council,,,,
E08000022,NTY,North Tyneside Council,24/03/2025,14/04/2025,21/04/2025,
E07000089,HAT,Hart District Council (by-election),02/04/2025,15/04/2025,17/04/2025,